function,dim,F,CR,mode,best_fitness,iteration
function 1,10,0.6,0.9,PSR,2166506.0728984377,1
function 1,10,0.6,0.9,MSR,166269607.62400925,1
function 1,10,0.6,1.0,normal,66533908.562265635,1
function 1,10,0.6,1.0,PSR,9489800736.99305,1
function 1,10,0.6,1.0,MSR,8763782222.337397,1
function 1,10,0.7,0.0,normal,200632081174.81317,1
function 1,10,0.7,0.0,PSR,64562934095.56165,1
function 1,10,0.7,0.0,MSR,139738612930.76883,1
function 1,10,0.7,0.1,normal,5948103360.005398,1
function 1,10,0.7,0.1,PSR,539936951.1932086,1
function 1,10,0.7,0.1,MSR,536904306.9191973,1
function 1,10,0.7,0.2,normal,1142402010.5145056,1
function 1,10,0.7,0.2,PSR,80092108.76174642,1
function 1,10,0.7,0.2,MSR,215838578.88877097,1
function 1,10,0.7,0.3,normal,884214477.3667535,1
function 1,10,0.7,0.3,PSR,24990930.954460952,1
function 1,10,0.7,0.3,MSR,61662201.828231074,1
function 1,10,0.7,0.4,normal,502562396.01268035,1
function 1,10,0.7,0.4,PSR,9317858.053621674,1
function 1,10,0.7,0.4,MSR,22078058.141706467,1
function 1,10,0.7,0.5,normal,979369179.5565648,1
function 1,10,0.7,0.5,PSR,8703628.716285877,1
function 1,10,0.7,0.5,MSR,2333899.4062631074,1
function 1,10,0.7,0.6,normal,1858075511.7343116,1
function 1,10,0.7,0.6,PSR,1322058.2901295107,1
function 1,10,0.7,0.6,MSR,1770055.4064409947,1
function 1,10,0.7,0.7,normal,683065594.1307268,1
function 1,10,0.7,0.7,PSR,536167.1765245773,1
function 1,10,0.7,0.7,MSR,229286.7853169287,1
function 1,10,0.7,0.8,normal,860502741.619747,1
function 1,10,0.7,0.8,PSR,1870149.7474058047,1
function 1,10,0.7,0.8,MSR,306228.0419113241,1
function 1,10,0.7,0.9,normal,880614088.4601524,1
function 1,10,0.7,0.9,PSR,25601553.552702107,1
function 1,10,0.7,0.9,MSR,31813566.467763696,1
function 1,10,0.7,1.0,normal,1132638589.0560975,1
function 1,10,0.7,1.0,PSR,9300813609.78363,1
function 1,10,0.7,1.0,MSR,11929292984.760935,1
function 1,10,0.8,0.0,normal,160656711412.93558,1
function 1,10,0.8,0.0,PSR,136944850001.2065,1
function 1,10,0.8,0.0,MSR,90860521165.62068,1
function 1,10,0.8,0.1,normal,2372977862.4108534,1
function 1,10,0.8,0.1,PSR,697212934.8839545,1
function 1,10,0.8,0.1,MSR,529005620.6704726,1
function 1,10,0.8,0.2,normal,1221176523.0440662,1
function 1,10,0.8,0.2,PSR,132172888.63822858,1
function 1,10,0.8,0.2,MSR,89719462.16920795,1
function 1,10,0.8,0.3,normal,804732706.5033809,1
function 1,10,0.8,0.3,PSR,77722529.88386804,1
function 1,10,0.8,0.3,MSR,58424515.90029981,1
function 1,10,0.8,0.4,normal,2096535981.0037625,1
function 1,10,0.8,0.4,PSR,11288654.454853678,1
function 1,10,0.8,0.4,MSR,8297325.297284055,1
function 1,10,0.8,0.5,normal,1706064632.2923677,1
function 1,10,0.8,0.5,PSR,1092906.3582664512,1
function 1,10,0.8,0.5,MSR,3770387.2671553334,1
function 1,10,0.8,0.6,normal,3126967015.4069347,1
function 1,10,0.8,0.6,PSR,596047.2251923032,1
function 1,10,0.8,0.6,MSR,96409.82551116626,1
function 1,10,0.8,0.7,normal,1657257449.4530482,1
function 1,10,0.8,0.7,PSR,1078278.9789073009,1
function 1,10,0.8,0.7,MSR,272003.5326428066,1
function 1,10,0.8,0.8,normal,1210705892.5937939,1
function 1,10,0.8,0.8,PSR,3624040.9224827057,1
function 1,10,0.8,0.8,MSR,21740.423949283642,1
function 1,10,0.8,0.9,normal,3706164427.147524,1
function 1,10,0.8,0.9,PSR,100297146.28231843,1
function 1,10,0.8,0.9,MSR,14381382.41447891,1
function 1,10,0.8,1.0,normal,581683507.805356,1
function 1,10,0.8,1.0,PSR,11041119143.62791,1
function 1,10,0.8,1.0,MSR,1819815325.3459234,1
function 1,10,0.9,0.0,normal,208376059215.291,1
function 1,10,0.9,0.0,PSR,126265461793.92087,1
function 1,10,0.9,0.0,MSR,99275122037.17874,1
function 1,10,0.9,0.1,normal,3245473834.558778,1
function 1,10,0.9,0.1,PSR,285850968.6669355,1
function 1,10,0.9,0.1,MSR,817610664.7532408,1
function 1,10,0.9,0.2,normal,4105429995.4549146,1
function 1,10,0.9,0.2,PSR,192157490.43335497,1
function 1,10,0.9,0.2,MSR,29190818.34347641,1
function 1,10,0.9,0.3,normal,1073717937.4487565,1
function 1,10,0.9,0.3,PSR,17276596.05353134,1
function 1,10,0.9,0.3,MSR,16941480.196567364,1
function 1,10,0.9,0.4,normal,3928936497.0300913,1
function 1,10,0.9,0.4,PSR,12441135.086878568,1
function 1,10,0.9,0.4,MSR,17971194.004014287,1
function 1,10,0.9,0.5,normal,1706345802.4262555,1
function 1,10,0.9,0.5,PSR,1752195.6861248869,1
function 1,10,0.9,0.5,MSR,2043474.1272999612,1
function 1,10,0.9,0.6,normal,3999777780.015893,1
function 1,10,0.9,0.6,PSR,909244.1062595551,1
function 1,10,0.9,0.6,MSR,116969.72213417216,1
function 1,10,0.9,0.7,normal,3524973288.2479672,1
function 1,10,0.9,0.7,PSR,25191.91283369899,1
function 1,10,0.9,0.7,MSR,97443.56464771045,1
function 1,10,0.9,0.8,normal,4119469397.5841193,1
function 1,10,0.9,0.8,PSR,1791066.3020562066,1
function 1,10,0.9,0.8,MSR,204317.6108788513,1
function 1,10,0.9,0.9,normal,5249280537.085418,1
function 1,10,0.9,0.9,PSR,3191519.3630389306,1
function 1,10,0.9,0.9,MSR,16256274.619979471,1
function 1,10,0.9,1.0,normal,6715848433.6102,1
function 1,10,0.9,1.0,PSR,1740665386.023885,1
function 1,10,0.9,1.0,MSR,6582888242.2196455,1
function 1,10,1.0,0.0,normal,151936898954.63605,1
function 1,10,1.0,0.0,PSR,145415022932.9184,1
function 1,10,1.0,0.0,MSR,122135539003.79018,1
function 1,10,1.0,0.1,normal,8037088771.968292,1
function 1,10,1.0,0.1,PSR,738358816.256259,1
function 1,10,1.0,0.1,MSR,1196375411.8557925,1
function 1,10,1.0,0.2,normal,3012612694.4058533,1
function 1,10,1.0,0.2,PSR,46515756.28377154,1
function 1,10,1.0,0.2,MSR,80530971.93882436,1
function 1,10,1.0,0.3,normal,1756131685.0387697,1
function 1,10,1.0,0.3,PSR,61911028.15294386,1
function 1,10,1.0,0.3,MSR,26504529.426866177,1
function 1,10,1.0,0.4,normal,5290393884.063382,1
function 1,10,1.0,0.4,PSR,7693797.909856699,1
function 1,10,1.0,0.4,MSR,55871797.75499068,1
function 1,10,1.0,0.5,normal,4925765400.678148,1
function 1,10,1.0,0.5,PSR,6873453.194122236,1
function 1,10,1.0,0.5,MSR,6805136.514784343,1
function 1,10,1.0,0.6,normal,7250939664.645491,1
function 1,10,1.0,0.6,PSR,8095174.624254748,1
function 1,10,1.0,0.6,MSR,667672.2410105368,1
function 1,10,1.0,0.7,normal,6251303072.46335,1
function 1,10,1.0,0.7,PSR,26921459.24618257,1
function 1,10,1.0,0.7,MSR,336015.43407548865,1
function 1,10,1.0,0.8,normal,7286048711.69023,1
function 1,10,1.0,0.8,PSR,548470.0948183011,1
function 1,10,1.0,0.8,MSR,126778586.54862869,1
function 1,10,1.0,0.9,normal,6473255973.263057,1
function 1,10,1.0,0.9,PSR,43111994.5679608,1
function 1,10,1.0,0.9,MSR,630121931.6923251,1
function 1,10,1.0,1.0,normal,8293914531.870899,1
function 1,10,1.0,1.0,PSR,4929725906.016543,1
function 1,10,1.0,1.0,MSR,4383928974.66629,1
function 1,30,0.0,0.0,normal,1055587343080.7762,1
function 1,30,0.0,0.0,PSR,1300875498191.795,1
function 1,30,0.0,0.0,MSR,1034969109593.0801,1
function 1,30,0.0,0.1,normal,19556434265.918175,1
function 1,30,0.0,0.1,PSR,36838746919.51973,1
function 1,30,0.0,0.1,MSR,34361928513.98377,1
function 1,30,0.0,0.2,normal,14396994676.267963,1
function 1,30,0.0,0.2,PSR,4634667305.881061,1
function 1,30,0.0,0.2,MSR,4183882176.606102,1
function 1,30,0.0,0.3,normal,12560804802.991032,1
function 1,30,0.0,0.3,PSR,2250043008.838331,1
function 1,30,0.0,0.3,MSR,3616161839.0758715,1
function 1,30,0.0,0.4,normal,13666608636.317131,1
function 1,30,0.0,0.4,PSR,1013878016.1737368,1
function 1,30,0.0,0.4,MSR,682256990.5507786,1
function 1,30,0.0,0.5,normal,42119657653.89159,1
function 1,30,0.0,0.5,PSR,634532692.5658135,1
function 1,30,0.0,0.5,MSR,1079331922.238049,1
function 1,30,0.0,0.6,normal,24501508336.793507,1
function 1,30,0.0,0.6,PSR,637341256.8624597,1
function 1,30,0.0,0.6,MSR,271827882.7429977,1
function 1,30,0.0,0.7,normal,40126139163.55287,1
function 1,30,0.0,0.7,PSR,395410754.49622923,1
function 1,30,0.0,0.7,MSR,2406034686.841762,1
function 1,30,0.0,0.8,normal,58419267985.97693,1
function 1,30,0.0,0.8,PSR,3970356055.517219,1
function 1,30,0.0,0.8,MSR,3114593913.5675807,1
function 1,30,0.0,0.9,normal,150955056950.4493,1
function 1,30,0.0,0.9,PSR,33601048286.010414,1
function 1,30,0.0,0.9,MSR,45251434679.85706,1
function 1,30,0.0,1.0,normal,1012377562082.0775,1
function 1,30,0.0,1.0,PSR,429175162017.80994,1
function 1,30,0.0,1.0,MSR,450114334205.0046,1
function 1,30,0.1,0.0,normal,1175254252291.9673,1
function 1,30,0.1,0.0,PSR,947570933857.7784,1
function 1,30,0.1,0.0,MSR,954564199965.706,1
function 1,30,0.1,0.1,normal,34873794322.768295,1
function 1,30,0.1,0.1,PSR,28403318088.34402,1
function 1,30,0.1,0.1,MSR,20924539919.755352,1
function 1,30,0.1,0.2,normal,6410568267.474547,1
function 1,30,0.1,0.2,PSR,4340089873.522828,1
function 1,30,0.1,0.2,MSR,5406280121.922226,1
function 1,30,0.1,0.3,normal,3197122671.8901258,1
function 1,30,0.1,0.3,PSR,2972273954.7929587,1
function 1,30,0.1,0.3,MSR,2792254510.4936852,1
function 1,30,0.1,0.4,normal,775770259.0462289,1
function 1,30,0.1,0.4,PSR,864783811.6339536,1
function 1,30,0.1,0.4,MSR,622771746.2512748,1
